test_name, num_threads, time
tournament, 8, 273024400
atomic, 8, 80410300
sync, 8, 53036300
lock, 8, 50518600
tournament, 1, 28240000
atomic, 1, 10834300
sync, 1, 17490000
lock, 1, 32737000
tournament, 2, 126530800
atomic, 2, 16840200
sync, 2, 35837300
lock, 2, 66032600
tournament, 3, 194098400
atomic, 3, 28559900
sync, 3, 51815600
lock, 3, 53680300
tournament, 4, 164724000
atomic, 4, 63325100
sync, 4, 51461500
lock, 4, 50976800
tournament, 5, 301817300
atomic, 5, 64012500
sync, 5, 51845300
lock, 5, 51450700
tournament, 6, 307868200
atomic, 6, 67085900
sync, 6, 54122900
lock, 6, 51115600
tournament, 7, 538846300
atomic, 7, 67086900
sync, 7, 52670700
